no;state;year;price;pop;pop16;cpi;ndi;sales;pimin
1;1;63;28.6;3383;2236.5;30.6;1558.30453;93.9;26.1
2;1;64;29.8;3431;2276.7;31;1684.073203;95.4;27.5
3;1;65;29.8;3486;2327.5;31.5;1809.841875;98.5;28.9
4;1;66;31.5;3524;2369.7;32.4;1915.160357;96.4;29.5
5;1;67;31.6;3533;2393.7;33.4;2023.546368;95.5;29.6
6;1;68;35.6;3522;2405.2;34.8;2202.485536;88.4;32
7;1;69;36.6;3531;2411.9;36.7;2377.334667;90.1;32.8
8;1;70;39.6;3444;2394.6;38.8;2591.039159;89.8;34.3
9;1;71;42.7;3481;2443.5;40.5;2785.315971;95.4;35.8
10;1;72;42.3;3511;2484.7;41.8;3034.808297;101.1;37.4
11;1;73;42.1;3540;2526;44.4;3387.574086;102.9;37.3
12;1;74;43.1;3574;2573.9;49.3;3718.867175;108.2;41.4
13;1;75;46.6;3614;2623.7;53.8;4087.993117;111.7;43
14;1;76;50.4;3657;2677.4;56.9;4486.771835;116.2;46.4
15;1;77;50.1;3690;2719.6;60.6;4899.865687;117.1;48.8
16;1;78;55.1;3728;2764.6;65.2;5450.998326;123;53.6
17;1;79;56.8;3769;2810.7;72.6;5957.140545;121.4;56.5
18;1;80;60.6;3894;2898.9;82.4;6466.350293;123.2;59.3
19;1;81;68.8;3917;2924.7;90.9;7042.023161;119.6;62.6
20;1;82;73.1;3943;2953.5;96.5;7505.21998;119.1;67.8
21;1;83;84.4;3959;2977.5;99.6;7974.551856;116.3;78.6
22;1;84;90.8;3990;3009.1;103.9;8693.376058;113;86.8
23;1;85;99;4020;3039.8;107.6;9059.434471;114.5;90.7
24;1;86;103;4050;3072.4;109.6;9674.985211;116.3;98.8
25;1;87;110;4083;3104;113.6;10213.84774;114;103.5
26;1;88;114.4;4102;3124;118.3;10993;112.1;109.2
27;1;89;122.3;4118;3140;124;11634;105.6;121.5
28;1;90;139.1;4129.2;3148.6;130.7;12806;108.6;132.3
29;1;91;144.4;4178.3;3185.1;136.2;13360;107.9;137.4
30;1;92;172.2;4226.3;3226.7;140.3;14533;109.1;159.5
31;3;63;23.9;1517;982.4;30.6;1944.745058;125;24.9
32;3;64;24;1549;1005.6;31;2063.515998;121;25.5
33;3;65;24.2;1575;1024.9;31.5;2162.663914;123.2;25.3
34;3;66;29.6;1609;1051.9;32.4;2318.615324;113.9;25.5
35;3;67;29.2;1637;1078.9;33.4;2446.681382;117.1;26
36;3;68;31.3;1667;1106;34.8;2720.370941;115.6;32.3
37;3;69;36.1;1693;1117.5;36.7;2979.601429;113.8;33.3
38;3;70;37.1;1772;1226.6;38.8;3269.815641;115.2;34.6
39;3;71;38.5;1878;1313.5;40.5;3549.701945;109.6;36.6
40;3;72;38;1975;1393.6;41.8;3800.670107;125;37.2
41;3;73;38.7;2075;1476.5;44.4;4219.983168;128.3;36.5
42;3;74;39.2;2156;1547;49.3;4508.131798;133.1;37.8
43;3;75;47.7;2200;1591.4;53.8;4742.575308;121.8;40.5
44;3;76;49.1;2244;1635.8;56.9;5158.789996;122.3;43.4
45;3;77;48.7;2304;1690.8;60.6;5567.775149;121.7;44.7
46;3;78;53.6;2373;1750.6;65.2;6283.499166;124.7;49.5
47;3;79;58.6;2450;1812.4;72.6;7099.40389;124.6;53.7
48;3;80;60.8;2718;2044;82.4;7823.390234;126.8;57.2
49;3;81;63.3;2794;2103.8;90.9;8647.557285;113.8;62.7
50;3;82;73.3;2860;2153.1;96.5;8879.935212;113.5;68.1
51;3;83;80.5;2963;2231.2;99.6;9579.134577;111.1;79.6
52;3;84;92.8;3053;2300.7;103.9;10549.95792;107.1;90.2
53;3;85;98.8;3161;2384.7;107.6;11256.38682;107.1;97.5
54;3;86;106.7;3279;2483.1;109.6;11796.5364;107.9;101.2
55;3;87;113.5;3386;2569;113.6;12367.66971;106.1;103.9
56;3;88;113.5;3489;2638;118.3;13008;102.2;113.7
57;3;89;125.6;3556;2672;124;13625;96.8;126.4
58;3;90;130.2;3598.2;2703.7;130.7;13826;88.9;133.6
59;3;91;151.4;3681.7;2759.1;136.2;14232;81.2;146.9
60;3;92;165.7;3762.2;2804.8;140.3;15179;79;165.4
61;4;63;27;1907;1296.7;30.6;1480.333494;103.4;25.8
62;4;64;27.3;1939;1320.7;31;1610.079769;102.6;25.7
63;4;65;27.2;1941;1323.6;31.5;1710.198943;100.3;26.1
64;4;66;30.3;1963;1344.8;32.4;1883.87506;98.9;26.2
65;4;67;30.4;1972;1357.3;33.4;2004.426718;102.9;27.5
66;4;68;30.9;1983;1374.6;34.8;2143.367612;104;29.2
67;4;69;30.9;1995;1389;36.7;2286.395002;102.9;29.9
68;4;70;36.7;1923;1366.9;38.8;2493.784719;100.3;34.3
69;4;71;38.8;1961;1405.4;40.5;2710.369053;104.1;36.8
70;4;72;44.1;1999;1442.9;41.8;2950.450745;103.9;37.4
71;4;73;45.1;2030;1474.6;44.4;3410.181643;108;37.3
72;4;74;45.5;2063;1508.3;49.3;3807.593465;109.7;38
73;4;75;48.6;2112;1552.5;53.8;4057.891398;114.8;43
74;4;76;50.9;2113;1565.1;56.9;4362.335416;119.1;44.7
75;4;77;52.6;2143;1596.8;60.6;4859.86641;122.6;45.9
76;4;78;56.5;2167;1623.7;65.2;5467.732821;127.3;49.9
77;4;79;58.4;2180;1641;72.6;6015.323402;126.5;52.2
78;4;80;61.5;2286;1715.1;82.4;6278.902451;131.8;57.3
79;4;81;64.7;2296;1725.7;90.9;7101.309947;128.7;59.9
80;4;82;72.1;2291;1724.7;96.5;7390.429601;127.4;64.7
81;4;83;82;2328;1757.4;99.6;7886.938972;128;74.8
82;4;84;93.6;2349;1776.7;103.9;8546.908217;123.1;84.8
83;4;85;98.5;2359;1790.1;107.6;9134.342143;125.8;92.5
84;4;86;103.6;2371;1804.6;109.6;9550.1432;126;98.8
85;4;87;113;2388;1819;113.6;9886.257569;122.3;103.5
86;4;88;119.9;2395;1823;118.3;10630;121.5;112.1
87;4;89;127.7;2406;1831;124;11243;118.3;118.9
